seed,radius,duration,noa,snr,F1_score,roc_auc
29,2,10,450,25,0.8025168565449895,0.9277711028706548
30,2,10,450,25,0.8447670131710209,0.929003613229106
31,2,10,450,25,0.8683809359450053,0.9392288901963746
32,2,10,450,25,0.8711345461960875,0.945207085914612
33,2,10,450,25,0.8745648243608708,0.9485539864993096
34,2,10,450,25,0.8416914484659462,0.9321953135772246
35,2,10,450,25,0.8853508721098685,0.9520291819640804
36,2,10,450,25,0.8685546053553904,0.9491040096849892
37,2,10,450,25,0.8436215784505917,0.9308905868732876
38,2,10,450,25,0.8850786288861512,0.9582973603674376
39,2,10,450,25,0.8704040666608902,0.9472612376574356
40,2,10,450,25,0.8833920143830999,0.9542713237599458
41,2,10,450,25,0.8384609852571018,0.929708451716942
42,2,10,450,25,0.8332417025955612,0.9335160356404149
43,2,10,450,25,0.8079619537720985,0.9158724972497
44,2,10,450,25,0.869188245562991,0.9436050038098917
45,2,10,450,25,0.8547209863619181,0.947586173695084
46,2,10,450,25,0.8787046407402053,0.9525033416086128
47,2,10,450,25,0.8488917368129788,0.9379423059371124
48,2,10,450,25,0.826615225152597,0.9239465539412068
49,2,10,450,25,0.842137333700872,0.929351691109551
50,2,10,450,25,0.8096983691730408,0.9237400614592246
